246.31263733	2.68627453
246.31665039	2.66666675
246.32078552	2.64705873
246.32478333	2.62745094
246.32891846	2.60784316
246.32891846	2.58823538
246.33302307	2.58823538
246.33715820	2.56862736
246.34130859	2.54901958
246.34130859	2.54901958
246.34529114	2.52941179
246.34944153	2.50980401
246.35359192	2.49019599
246.35359192	2.49019599
246.35774231	2.47058821
246.36186218	2.45098042
246.36582947	2.43137264
246.36997986	2.41176462
246.37406921	2.41176462
246.37406921	2.39215684
246.37815857	2.37254906
246.38220215	2.37254906
246.38636780	2.35294127
246.38636780	2.33333325
246.39048767	2.33333325
246.39460754	2.31372547
246.39872742	2.31372547
246.39872742	2.29411769
246.40270996	2.29411769
246.40676880	2.27450991
246.41090393	2.25490189
246.41496277	2.25490189
246.41906738	2.23529410
246.41906738	2.23529410
246.42321777	2.23529410
246.42736816	2.23529410
246.43145752	2.21568632
246.43145752	2.21568632
246.43545532	2.23529410
246.43954468	2.23529410
246.44371033	2.23529410
246.44371033	2.23529410
246.44786072	2.25490189
246.45196533	2.25490189
246.45596313	2.27450991
246.46011353	2.29411769
246.46420288	2.31372547
246.46420288	2.33333325
246.46838379	2.35294127
246.47232056	2.37254906
246.47639465	2.41176462
246.47639465	2.43137264
246.48059082	2.45098042
246.48472595	2.49019599
246.48886108	2.50980401
246.48886108	2.54901958
246.49285889	2.58823538
246.49696350	2.60784316
246.50112915	2.68627453
246.50505066	2.72549009
246.50914001	2.74509811
246.50914001	2.78431368
246.51327515	2.82352948
246.51747131	2.86274505
246.52157593	2.90196085
246.52157593	2.92156863
246.52571106	2.96078420
246.52972412	3.00000000
246.53382874	3.03921580
246.53382874	3.07843137
246.53791809	3.09803915
246.54208374	3.13725495
246.54606628	3.19607854
246.55023193	3.23529410
246.55436707	3.25490189
246.55436707	3.29411769
246.55848694	3.31372547
246.56248474	3.33333325
246.56672668	3.35294127
246.56672668	3.39215684
246.57069397	3.41176462
246.57481384	3.43137264
246.57890320	3.45098042
246.57890320	3.47058821
246.58294678	3.49019599
246.58705139	3.50980401
246.59121704	3.52941179
246.59523010	3.54901958
246.59939575	3.54901958
246.59939575	3.56862736
246.60345459	3.56862736
246.60754395	3.56862736
246.61170959	3.58823538
246.61170959	3.58823538
246.61569214	3.58823538
246.61982727	3.58823538
246.62393188	3.58823538
246.62393188	3.58823538
246.62811279	3.58823538
246.63206482	3.58823538
246.63618469	3.56862736
246.64033508	3.56862736
246.64448547	3.56862736
246.64448547	3.54901958
246.64860535	3.54901958
246.65272522	3.52941179
246.65670776	3.50980401
246.65670776	3.50980401
246.66087341	3.49019599
246.66496277	3.49019599
246.66911316	3.47058821
246.66911316	3.45098042
246.67318726	3.43137264
246.67721558	3.43137264
246.68139648	3.39215684
246.68533325	3.37254906
246.68945313	3.35294127
